time,open,high,low,close
2018-09-05T04:00:00+03:00,1192.381,1194.674,1191.57,1194.522
2018-09-05T06:00:00+03:00,1194.522,1194.522,1193.128,1193.465
2018-09-05T08:00:00+03:00,1193.465,1193.868,1191.946,1192.66
2018-09-05T10:00:00+03:00,1192.66,1195.926,1191.994,1194.817
2018-09-05T12:00:00+03:00,1194.817,1195.59,1193.17,1194.789
2018-09-05T14:00:00+03:00,1194.789,1196.298,1193.516,1196.062
2018-09-05T16:00:00+03:00,1196.062,1198.138,1195.266,1196.688
2018-09-05T18:00:00+03:00,1196.688,1198.546,1195.262,1195.47
2018-09-05T20:00:00+03:00,1195.47,1196.884,1195.12,1196.258
2018-09-05T22:00:00+03:00,1196.258,1197.204,1195.956,1195.956
2018-09-06T00:00:00+03:00,1195.956,1197.323,1195.956,1197.101
2018-09-06T02:00:00+03:00,1197.101,1200.036,1196.762,1198.936
2018-09-06T04:00:00+03:00,1198.936,1199.89,1198.002,1199.246
2018-09-06T06:00:00+03:00,1199.246,1199.564,1197.126,1197.558
2018-09-06T08:00:00+03:00,1197.558,1197.89,1195.672,1197.395
2018-09-06T10:00:00+03:00,1197.395,1203.295,1196.791,1203.018
2018-09-06T12:00:00+03:00,1203.018,1206.056,1202.263,1205.506
2018-09-06T14:00:00+03:00,1205.506,1206.732,1203.516,1203.88
2018-09-06T16:00:00+03:00,1203.88,1207.084,1202.698,1203.934
2018-09-06T18:00:00+03:00,1203.934,1204.22,1196.82,1198.978
2018-09-06T20:00:00+03:00,1198.978,1201.272,1198.32,1200.03
2018-09-06T22:00:00+03:00,1200.03,1200.592,1199.036,1200.247
2018-09-07T00:00:00+03:00,1200.247,1200.858,1199.806,1200.372
2018-09-07T02:00:00+03:00,1200.372,1202.65,1200.152,1202.478
2018-09-07T04:00:00+03:00,1202.478,1203.574,1201.33,1202.413
2018-09-07T06:00:00+03:00,1202.413,1203.04,1199.316,1201.612
2018-09-07T08:00:00+03:00,1201.612,1202.178,1199.332,1200.882
2018-09-07T10:00:00+03:00,1200.882,1201.896,1198.4,1200.941
2018-09-07T12:00:00+03:00,1200.941,1202.282,1199.656,1201.779
2018-09-07T14:00:00+03:00,1201.779,1202.363,1193.966,1194.606
2018-09-07T16:00:00+03:00,1194.606,1200.324,1193.525,1197.739
2018-09-07T18:00:00+03:00,1197.739,1198.791,1195.116,1196.08
2018-09-07T20:00:00+03:00,1196.08,1196.924,1193.653,1196.178
2018-09-07T22:00:00+03:00,1196.178,1197.063,1195.47,1196.55
2018-09-10T00:00:00+03:00,1196.55,1196.696,1195.032,1195.11
2018-09-10T02:00:00+03:00,1195.11,1196.453,1194.135,1195.548
2018-09-10T04:00:00+03:00,1195.548,1196.382,1194.11,1194.555
2018-09-10T06:00:00+03:00,1194.555,1195.497,1192.53,1193.227
2018-09-10T08:00:00+03:00,1193.227,1194.15,1191.718,1193.092
2018-09-10T10:00:00+03:00,1193.092,1196.132,1192.396,1194.718
2018-09-10T12:00:00+03:00,1194.718,1195.91,1193.064,1194.356
2018-09-10T14:00:00+03:00,1194.356,1195.995,1191.638,1195.852
2018-09-10T16:00:00+03:00,1195.852,1198.62,1195.526,1197.09
2018-09-10T18:00:00+03:00,1197.09,1197.524,1195.861,1196.347
2018-09-10T20:00:00+03:00,1196.347,1196.696,1193.798,1195.886
2018-09-10T22:00:00+03:00,1195.886,1196.136,1194.775,1195.799
2018-09-11T00:00:00+03:00,1195.799,1196.08,1195.274,1195.614
2018-09-11T02:00:00+03:00,1195.614,1196.332,1194.318,1194.43
2018-09-11T04:00:00+03:00,1194.43,1195.234,1193.204,1193.974
