time,open,high,low,close
2018-02-02T13:00:00+03:00,3.75601,3.75878,3.74659,3.75059
2018-02-02T15:00:00+03:00,3.75059,3.76474,3.7446,3.76139
2018-02-02T17:00:00+03:00,3.76139,3.77405,3.75539,3.76401
2018-02-02T19:00:00+03:00,3.76401,3.76582,3.75669,3.75876
2018-02-02T21:00:00+03:00,3.75876,3.77132,3.75155,3.77087
2018-02-02T23:00:00+03:00,3.77087,3.77624,3.76425,3.7644
2018-02-05T01:00:00+03:00,3.7676,3.77296,3.76279,3.77237
2018-02-05T03:00:00+03:00,3.77237,3.77398,3.77215,3.77231
2018-02-05T05:00:00+03:00,3.77231,3.77382,3.77125,3.77211
2018-02-05T07:00:00+03:00,3.77211,3.77339,3.7674,3.76815
2018-02-05T09:00:00+03:00,3.76815,3.77484,3.7635,3.77085
2018-02-05T11:00:00+03:00,3.77085,3.77221,3.75825,3.76461
2018-02-05T13:00:00+03:00,3.76461,3.76886,3.75887,3.76284
2018-02-05T15:00:00+03:00,3.76284,3.76809,3.75603,3.7622
2018-02-05T17:00:00+03:00,3.7622,3.7713,3.75841,3.76349
2018-02-05T19:00:00+03:00,3.76349,3.76798,3.7619,3.76355
2018-02-05T21:00:00+03:00,3.76355,3.77897,3.76355,3.77846
2018-02-05T23:00:00+03:00,3.77846,3.79095,3.77531,3.78855
2018-02-06T01:00:00+03:00,3.78855,3.7886,3.77383,3.78679
2018-02-06T03:00:00+03:00,3.78679,3.79071,3.78046,3.79005
2018-02-06T05:00:00+03:00,3.79005,3.7953,3.78583,3.789
2018-02-06T07:00:00+03:00,3.789,3.79505,3.7801,3.78414
2018-02-06T09:00:00+03:00,3.78414,3.78972,3.77747,3.7869
2018-02-06T11:00:00+03:00,3.7869,3.79029,3.77573,3.78152
2018-02-06T13:00:00+03:00,3.78152,3.78655,3.77361,3.78154
2018-02-06T15:00:00+03:00,3.78154,3.78748,3.77837,3.78236
2018-02-06T17:00:00+03:00,3.78236,3.78799,3.77314,3.77782
2018-02-06T19:00:00+03:00,3.77782,3.77971,3.76365,3.76825
2018-02-06T21:00:00+03:00,3.76825,3.77601,3.76717,3.76903
